PatientID	SampleID
P136854	P136854_S26
P136854	P136854_S27
P136854	P136854_S28
P136854	P136854_S29
P136854	P136854_S30
P136854	P136854_S31
P136854	P136854_S32
P136854	P136854_S33
P136854	P136854_S34
P136854	P136854_S35
P136866	P136866_S1
P136866	P136866_S2
P136866	P136866_S3
P136866	P136866_S4
P136866	P136866_S5
P136866	P136866_S6
P136866	P136866_S7
P136866	P136866_S8
P136866	P136866_S9
P136866	P136866_S10
P136866	P136866_S11
P136866	P136866_S12
P136866	P136866_S13
P136866	P136866_S14
P136866	P136866_S15
P136866	P136866_S16
P136866	P136866_S17
P136866	P136866_S18
P136866	P136866_S19
P136866	P136866_S20
P136866	P136866_S21
P136866	P136866_S22
P136866	P136866_S23
P136866	P136866_S24
P136866	P136866_S25
P136866	P136866_S26
P136866	P136866_S27
P136866	P136866_S28
P136866	P136866_S29
P136866	P136866_S30
P136866	P136866_S31
P136866	P136866_S32
P136866	P136866_S33
P136866	P136866_S34
P136866	P136866_S35
P136866	P136866_S36
P136866	P136866_S37
P136866	P136866_S38
P136866	P136866_S39
P136866	P136866_S40
P136866	P136866_S41
P136866	P136866_S42
P136866	P136866_S43
P136866	P136866_S44
P136866	P136866_S45
P136866	P136866_S46
P136866	P136866_S47
P136866	P136866_S48
P136866	P136866_S49
P136866	P136866_S50
P136866	P136866_S51
P136866	P136866_S52
P136866	P136866_S53
P136866	P136866_S54
P136866	P136866_S55
P136866	P136866_S56
P136866	P136866_S57
P136866	P136866_S58
P136866	P136866_S59
P136866	P136866_S60
P136866	P136866_S61
P132723	P132723_S1
P132723	P132723_S2
P132723	P132723_S3
P132723	P132723_S4
P132723	P132723_S5
P132723	P132723_S6
P132723	P132723_S7
P132723	P132723_S8
P132723	P132723_S9
P132723	P132723_S10
P132723	P132723_S11
P132723	P132723_S12
P132723	P132723_S13
P132723	P132723_S14
P132723	P132723_S15
P132723	P132723_S16
P132723	P132723_S17
P132723	P132723_S18
P132723	P132723_S19
P132723	P132723_S20
P133662	P133662_S1
P133662	P133662_S2
P133662	P133662_S3
P133662	P133662_S4
P133662	P133662_S5
P133662	P133662_S6
P133662	P133662_S7
P133662	P133662_S8
P133662	P133662_S9
P133662	P133662_S10
P133662	P133662_S11
P133662	P133662_S12
P133662	P133662_S13
P133662	P133662_S14
P133662	P133662_S15
P133662	P133662_S16
P133662	P133662_S17
P137103	P137103_S1
P137103	P137103_S2
P137103	P137103_S3
P137103	P137103_S4
P137103	P137103_S5
P137103	P137103_S6
P137103	P137103_S7
P137103	P137103_S8
P137103	P137103_S9
P137103	P137103_S10
P137103	P137103_S11
P137103	P137103_S12
P137103	P137103_S13
P137103	P137103_S14
P137103	P137103_S15
P137103	P137103_S16
P137103	P137103_S17
P137103	P137103_S18
P137103	P137103_S19
P137103	P137103_S20
P137103	P137103_S21
P137103	P137103_S22
P137591	P137591_S1
P137591	P137591_S2
P137591	P137591_S3
P137591	P137591_S4
P137591	P137591_S5
P137591	P137591_S6
P137591	P137591_S7
P137591	P137591_S8
P137591	P137591_S9
P137591	P137591_S10
P137591	P137591_S11
P137591	P137591_S12
P137591	P137591_S13
P137591	P137591_S14
P137591	P137591_S15
P137591	P137591_S16
P137591	P137591_S17
P137591	P137591_S18
P137591	P137591_S19
P137591	P137591_S20
P137591	P137591_S21
P137591	P137591_S22
P137591	P137591_S23
P137591	P137591_S24
P137591	P137591_S25
P137591	P137591_S26
P137591	P137591_S27
P137591	P137591_S28
P137591	P137591_S29
P137591	P137591_S30
P137591	P137591_S31
P137591	P137591_S32
P137591	P137591_S33
P137591	P137591_S34
P137591	P137591_S35
P137591	P137591_S36
P137591	P137591_S37
P137591	P137591_S38
P137591	P137591_S39
P137591	P137591_S40
P137591	P137591_S41
P137591	P137591_S42
P137591	P137591_S43
P137591	P137591_S44
P137591	P137591_S45
P137591	P137591_S46
P137591	P137591_S47
P137591	P137591_S48
P137591	P137591_S49
P137591	P137591_S50
P137591	P137591_S51
P137591	P137591_S52
P137591	P137591_S53
P137591	P137591_S54
P137591	P137591_S55
P137591	P137591_S56
P137591	P137591_S57
P137591	P137591_S58
P137591	P137591_S59
P137591	P137591_S60
P137591	P137591_S61
P137591	P137591_S62
P137591	P137591_S63
P137591	P137591_S64
P137591	P137591_S65
P137591	P137591_S66
P137591	P137591_S67
P137591	P137591_S68
P137591	P137591_S69
P137591	P137591_S70
P137591	P137591_S71
P137591	P137591_S72
P137591	P137591_S73
P137591	P137591_S74
P137591	P137591_S75
P137591	P137591_S76
P137591	P137591_S77
P137591	P137591_S78
P137591	P137591_S79
P137591	P137591_S80
P137591	P137591_S81
P137591	P137591_S82
P137591	P137591_S83
P137591	P137591_S84
P137591	P137591_S85
P137591	P137591_S86
P137591	P137591_S87
P137591	P137591_S88
P137591	P137591_S89
P132828	P132828_S1
P132828	P132828_S2
P132828	P132828_S3
P132828	P132828_S4
P132828	P132828_S5
P132828	P132828_S6
P132828	P132828_S7
P132828	P132828_S8
P132828	P132828_S9
P132828	P132828_S10
P132828	P132828_S11
P132828	P132828_S12
P132828	P132828_S13
P132828	P132828_S14
P132828	P132828_S15
P132828	P132828_S16
P132828	P132828_S17
P132828	P132828_S18
P132828	P132828_S19
P132828	P132828_S20
P132828	P132828_S21
P132828	P132828_S22
P132828	P132828_S23
P132828	P132828_S24
P132828	P132828_S25
P132828	P132828_S26
P132828	P132828_S27
P132828	P132828_S28
P132828	P132828_S29
P133009	P133009_S1
P133009	P133009_S2
P133009	P133009_S3
P133009	P133009_S4
P133009	P133009_S5
P133009	P133009_S6
P133009	P133009_S7
P133009	P133009_S8
P133009	P133009_S9
P133009	P133009_S10
P133009	P133009_S11
P133009	P133009_S12
P133009	P133009_S13
P133009	P133009_S14
P133009	P133009_S15
P133009	P133009_S16
P133009	P133009_S17
P133009	P133009_S18
P133009	P133009_S19
P133009	P133009_S20
P133009	P133009_S21
P133009	P133009_S22
P133009	P133009_S23
P133009	P133009_S24
P133009	P133009_S25
P133009	P133009_S26
P133009	P133009_S27
P131946	P131946_S1
P131946	P131946_S2
P131946	P131946_S3
P131946	P131946_S4
P131946	P131946_S5
P131946	P131946_S6
P131946	P131946_S7
P131946	P131946_S8
P131946	P131946_S9
P131946	P131946_S10
P131946	P131946_S11
P131946	P131946_S12
P131946	P131946_S13
P131946	P131946_S14
P131946	P131946_S15
P131946	P131946_S16
P131946	P131946_S17
P131946	P131946_S18
P131946	P131946_S19
P131946	P131946_S20
P131946	P131946_S21
P131946	P131946_S22
P131946	P131946_S23
P131946	P131946_S24
P131946	P131946_S25
P131946	P131946_S26
P131946	P131946_S27
P131946	P131946_S28
P131946	P131946_S29
P131946	P131946_S30
P131946	P131946_S31
P131946	P131946_S32
P131946	P131946_S33
P131946	P131946_S34
P131946	P131946_S35
P132696	P132696_S1
P132696	P132696_S2
P132696	P132696_S3
P132696	P132696_S4
P132696	P132696_S5
P132696	P132696_S6
P132696	P132696_S7
P132696	P132696_S8
P132696	P132696_S9
P132696	P132696_S10
P132696	P132696_S11
P132696	P132696_S12
P132696	P132696_S13
P132696	P132696_S14
P132696	P132696_S15
P132696	P132696_S16
P132696	P132696_S17
P132696	P132696_S18
P132696	P132696_S19
P132696	P132696_S20
P132696	P132696_S21
P132696	P132696_S22
P131888	P131888_S1
P131888	P131888_S2
P131888	P131888_S3
P131888	P131888_S4
P131888	P131888_S5
P131888	P131888_S6
P131888	P131888_S7
P131888	P131888_S8
P131888	P131888_S9
P131888	P131888_S10
P131888	P131888_S11
P131888	P131888_S12
P131888	P131888_S13
P131888	P131888_S14
P131888	P131888_S15
P131888	P131888_S16
P131888	P131888_S17
P131888	P131888_S18
P131888	P131888_S19
P131888	P131888_S20
P131888	P131888_S21
P131888	P131888_S22
P131888	P131888_S23
